userid,firstname,lastname,dateofbirth,phonenumber,email,address,city,state,zipcode,type
16173,Brianna,Bell,1955-02-01,(197) 866-6161,brianna.bell64@example.com,5273 Hunter Isle Suite 926,Munith,MI,49259,Admin
35055,Mary,Garcia,1985-06-17,(988) 382-8277,mary.garcia78@example.com,520 Brown Forest,Tonkawa,OK,74653,Guest
90850,Andrew,Butler,1996-06-07,(339) 270-9431,andrew.butler64@example.com,83882 Rodriguez Ramp Apt. 352,Georgiana,AL,36033,Employee
53751,Suzanne,Griffith,1996-01-02,(029) 390-6934,suzanne.griffith97@example.com,441 Neal Mall Apt. 240,APO AE,,09629,Guest
26844,Gabriel,Skinner,1984-08-26,(540) 741-9497,gabriel.skinner51@example.com,5596 Richard Landing,South Shore,SD,57263,Admin
69227,Jessica,Shepherd,1993-04-05,(757) 898-8412,jessica.shepherd77@example.com,926 Lisa Mill,Yelm,WA,98597,Guest
91549,Jonathan,Drake,1991-12-07,(667) 369-7011,jonathan.drake35@example.com,3661 Jacob Flat,Keyser,WV,26726,Admin
67818,Zachary,Townsend,1984-09-29,(536) 394-5951,zachary.townsend48@example.com,7071 Morrison Ridges,Stryker,MT,59933,Employee
48601,Patricia,Small,1986-09-12,(139) 278-7704,patricia.small50@example.com,4889 Lewis Lights,Foley,MN,56329,Customer
53811,Aaron,Campos,1991-01-17,(120) 531-9227,aaron.campos72@example.com,3252 Steven Expressway Apt. 856,Brooklyn,NY,11235,Guest
99350,Vanessa,Williams,1981-06-18,(324) 521-9052,vanessa.williams46@example.com,4955 Stephanie Groves Apt. 558,Mills,WY,82644,Employee
11356,Jacqueline,Snow,2006-06-21,(825) 429-0213,jacqueline.snow38@example.com,25235 Nicole Summit,Wolflake,IN,46796,Guest
98178,Laura,Moore,2005-12-14,(390) 682-7684,laura.moore14@example.com,905 Catherine Landing,Baldwin,ND,58521,Customer
69656,Christopher,Heath,1959-11-28,(895) 616-5788,christopher.heath56@example.com,485 Glass Expressway,Palmyra,MI,49268,Employee
19616,Janice,Smith,1983-10-14,(213) 975-1846,janice.smith49@example.com,41947 Ruth Center,Chapin,IL,62628,Employee
87214,Amy,Kane,1971-12-05,(289) 841-4529,amy.kane45@example.com,38646 Eric Isle,Treece,KS,66778,Customer
25812,Yolanda,Brock,2005-12-21,(275) 686-1450,yolanda.brock33@example.com,8158 Cherry Lights,Holdenville,OK,74848,Admin
98909,Chad,Turner,1999-08-12,(442) 839-0999,chad.turner3@example.com,9423 Soto Curve,Goshen,KY,40026,Employee
18240,Jonathan,Valenzuela,2005-09-23,(618) 300-9634,jonathan.valenzuela1@example.com,785 Susan Route,Salt Lake City,UT,84127,Guest
89446,Deborah,Banks,1976-07-27,(264) 686-2032,deborah.banks55@example.com,31315 Gibson Ridges Suite 224,Hedrick,IA,52563,Admin
57544,Michael,Evans,1987-01-15,(774) 383-0951,michael.evans58@example.com,38472 Yang Glen,Silverhill,AL,36576,Admin
73011,Crystal,Brown,1964-10-31,(216) 555-7012,crystal.brown73@example.com,45125 Livingston Skyway,Arlington,MN,55307,Employee
34605,Raymond,Smith,1962-04-09,(686) 994-5235,raymond.smith87@example.com,2987 Lindsey Lane,Old Bridge,NJ,08857,Guest
99086,Matthew,Carson,1979-08-30,(972) 744-2240,matthew.carson49@example.com,11041 Baker Gateway,Pittsburgh,PA,15235,Admin
66817,Jason,Simmons,2000-09-01,(574) 124-4005,jason.simmons21@example.com,228 Allen Mill Suite 715,Gratiot,WI,53541,Employee
